"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"CSE","170","CSE-170","Interaction Design","Introduces fundamental methods and principles for designing, implementing, and evaluating user interfaces. Topics include user-centered design, rapid prototyping, experimentation, direct manipulation, cognitive principles, visual design, social software, software tools. Learn by doing: Work with a team on a quarter-long design project. Students may not receive credit for COGS 120 and CSE 170. Recommended preparation: Basic familiarity with HTML.","COGS 108 or CSE 12 or DSC 30, COGS 1 or COGS 10 or DSGN 1 or ENG 100D"
"CSE","175","CSE-175","Successful Entrepreneurship for Engineers","A foundation course teaching the basics of starting and running a successful new business. Students learn how to think like entrepreneurs, pivot their ideas to match customer needs, with financial, market, timeline feasibility inputs. The end goal is an investor pitch and a business plan. Provides experiential education, encouragement, and coaching (E3CE) that prepares students for successful careers at start-up as well as large companies.","none"
"CSE","176A","CSE-176A","Health Care Robotics","Robotics has the potential to improve well-being for millions of people and support caregivers and to aid the clinical workforce. We bring together engineers, clinicians, and end users to explore this exciting new field. The course is project-based, interactive, and hands-on, and involves working closely with stakeholders to develop prototypes that solve real-world problems. Students will explore the latest research in health care robotics, human-robot teaming, and health design. Program or materials fees may apply.","CSE 110 or CSE 170 or COGS 120"
"CSE","176E","CSE-176E","Robot Systems Design and Implementation","End-to-end system design of embedded electronic systems including PCB design and fabrication, software control system development, and system integration. Program or materials fees may apply. May be coscheduled with CSE 276E.","none"
"CSE","180","CSE-180","Biology Meets Computing","Topics include an overview of various aspects of bioinformatics and will simultaneously introduce students to programming in Python. The assessments in the course represent various programming challenges and include solving diverse biological problems using popular bioinformatics tools. Students may not receive credit for CSE 180 and CSE 180R.","BILD 1 or BILD 4 or CSE 11 or CSE 3 or CSE 8A or CSE 8B"
"CSE","180R","CSE-180R","Biology Meets Computing","Topics include an overview of various aspects of bioinformatics and will simultaneously introduce students to programming in Python. The assessments in the course represent various programming challenges and include solving diverse biological problems using popular bioinformatics tools. This will be a fully online class based on extensive educational materials and online educational platform Stepik developed with HHMI, NIH, and ILTI support. Students may not receive credit for CSE 180 and CSE 180R.","BILD 1 or BILD 4 or CSE 11 or CSE 3 or CSE 8A or CSE 8B"
"CSE","181","CSE-181","Molecular Sequence Analysis","This course covers the analysis of nucleic acid and protein sequences, with an emphasis on the application of algorithms to biological problems. Topics include sequence alignments, database searching, comparative genomics, and phylogenetic and clustering analyses. Pairwise alignment, multiple alignment, DNS sequencing, scoring functions, fast database search, comparative genomics, clustering, phylogenetic trees, gene finding/DNA statistics.","CSE 100 or CSE 100R, CSE 101, BIMM 100 or CHEM 114C"
"CSE","181R","CSE-181R","Molecular Sequence Analysis","This course covers the analysis of nucleic acid and protein sequences, with an emphasis on the application of algorithms to biological problems. Topics include sequence alignments, database searching, comparative genomics, and phylogenetic and clustering analyses. Pairwise alignment, multiple alignment, DNS sequencing, scoring functions, fast database search, comparative genomics, clustering, phylogenetic trees, gene finding/DNA statistics.","CSE 100 or CSE 100R, CSE 101, BIMM 100 or CHEM 114C"
"CSE","182","CSE-182","Biological Databases","This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object oriented databases, data modeling and description. Survey of current biological database with respect to above, implementation of a database on a biological topic. Students may receive credit for one of the following: CSE 182, BENG 182, or BIMM 182.","CSE 100 or CSE 100R"
"CSE","184","CSE-184","Computational Molecular Biology","This advanced course covers the application of machine learning and modeling techniques to biological systems. Topics include gene structure, recognition of DNA and protein sequence patterns, classification, and protein structure prediction. Pattern discovery, Hidden Markov models/support victor machines/neural network/profiles. Protein structure prediction, functional characterization or proteins, functional genomics/proteomics, metabolic pathways/gene networks. Cross-listed with BIMM 184/BENG 184/CHEM 184.","BIMM 181 or BENG 181 or CSE 181, BENG 182 or BIMM 182 or CSE 182 or CHEM 182"
"CSE","185","CSE-185","Advanced Bioinformatics Laboratory","This course emphasizes the hands-on application of bioinformatics to biological problems. Students will gain experience in the application of existing software, as well as in combining approaches to answer specific biological questions. Topics include sequence alignment, fast database search, comparative genomics, expression analysis, computational proteomics, genome-wide association studies, next-generation sequencing, genomics, and big data. Students may not receive credit for CSE 185 and BIMM 185.","CSE 11 or CSE 8B, CSE 12, MATH 20C or MATH 31BH, BILD 1, BIEB 123 or BILD 4 or BIMM 101 or CHEM 109"
"CSE","190","CSE-190","Topics in Computer Science and Engineering","Topics of special interest in computer science and engineering. Topics may vary from quarter to quarter. May be repeated for credit with the consent of instructor. May be taken for credit up to three times. May be coscheduled with CSE 291.","none"
